S.No,Brand,Model,Screen_Size,Color,Hard_disk,CPU,RAM,OS,Special_features,Graphics,Graphics_Co-Processor,CPU_speed,Rating, Price ,Sale Product Count, Total Sales ,Total Stock
50,Lenovo,Flex 5,14 Inches,N/A,256 GB,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,N/A,Integrated,AMD Radeon R5,2.1 GHz,4.2," $1,699.00 ",50," $84,950.00 ",172
51,acer,A115-32-C96U,15.6 Inches,Silver,128 GB,Celeron N,4 GB,Windows 11 S,N/A,Integrated,Intel UHD Graphics,N/A,4.3," $2,467.69 ",65," $1,60,399.85 ",342
52,ASUS,ROG Flow Z13,13.4 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,Stylus,Dedicated,N/A,N/A,4.4, $639.99 ,19," $12,159.81 ",163
53,HP,HP,15.6 Inches,Touchscreen,1 TB,Core i3-1115G4E,16 GB,Windows 11 Home,N/A,Integrated,Intel Iris Xe Graphics,N/A,4.5," $1,599.00 ",40," $63,960.00 ",278
54,ASUS,ROG Strix SCAR 16,16 Inches,Off Black,2 TB,Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,N/A,N/A,4.1, $639.99 ,54," $34,559.46 ",518
55,ASUS,ROG Strix SCAR 18,18 Inches,Black,2 TB,Intel Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,N/A,N/A,4.3, $459.99 ,51," $23,459.49 ",132
56,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $3,399.00 ",52," $1,76,748.00 ",439
57,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,657.21 ",20," $33,144.20 ",445
58,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $389.99 ,35," $13,649.65 ",142
59,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $1,559.00 ",26," $40,534.00 ",237
60,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5," $2,742.99 ",43," $1,17,948.57 ",320
61,LG,17Z90Q-K.ADB9U1,17 Inches,Black,2 TB,Core i7,32 GB,Windows 11 Home,Lightweight,Intel XE,N/A,N/A,4.3, $999.99 ,57," $56,999.43 ",425
62,ASUS,ROG Flow Z13,13.4 Inches,Acronym,1 TB,Core i9,32 GB,Windows 11 Pro,N/A,Dedicated,NVIDIA GeForce RTX 4070,N/A,4.2," $1,094.99 ",29," $31,754.71 ",248
63,Lenovo,Chromebook,11.6 Inches,Black,32 GB,MediaTek MT8183,4 GB,Chrome OS,Anti-glare,Integrated,N/A,N/A,4.3, $999.99 ,56," $55,999.44 ",491
64,Microsoft,Surface Laptop,15 Inches,Platinum,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,N/A,N/A,4.4, $807.99 ,45," $36,359.55 ",419
65,ASUS,TUF Dash 15 (2022),15.6 Inches,Off Black,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,RTX 3060,N/A,N/A,4.5," $3,116.99 ",40," $1,24,679.60 ",207
66,ASUS,TUF Gaming A15,15.6 Inches,Mecha Gray,1 TB,Ryzen 7,16 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 4050,N/A,4.3, $459.99 ,33," $15,179.67 ",256
67,HP,14-dq0070nr,14 Inches,Pale rose gold,64 GB,Celeron N4020,4 GB,Windows 11 S,Micro-edge Bezel,Integrated,N/A,N/A,4.3, $228.00 ,44," $10,032.00 ",226
68,ASUS,ROG Strix Scar 17,17.3 Inches,Off Black,1 TB,Ryzen 9,32 GB,Windows 11 Pro,N/A,Dedicated,NVIDIA GeForce RTX 4080,N/A,4.1, $640.99 ,58," $37,177.42 ",264
69,acer,A3SP14-31PT-37NV,14 Inches,Silver,128 GB,Core i3,8 GB,Windows 11 S,Pen,Integrated,N/A,N/A,4.5, $589.99 ,37," $21,829.63 ",428
70,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5, $999.99 ,30," $29,999.70 ",395
71,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4," $1,748.04 ",58," $1,01,386.32 ",478
72,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $459.99 ,13," $5,979.87 ",182
73,ASUS,ASUS TUF Gaming F1,17.3 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Numeric Keypad,RTX 3050,N/A,N/A,4.5, $729.99 ,59," $43,069.41 ",313
74,Lenovo,IdeaPad Flex 5i Chromebook,13.3 Inches,Abyss Blue,128 GB,Core i3,8 GB,Chrome OS,Anti Glare Coating,Integrated,N/A,N/A,4.4, $459.99 ,38," $17,479.62 ",488
75,HP,N/A,15.6 Inches,Silver,1 TB,Intel Core i5,16 GB,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,N/A,4.1, $658.99 ,20," $13,179.80 ",352
76,Dell,Dell Latitude,14 Inches,Black,512 GB,Core i7-8650U,16 GB,Windows 10 Pro,TrackPoint,Integrated,N/A,N/A,4," $1,199.00 ",33," $39,567.00 ",119
77,HP,Chromebook 11 G9 EE,11.6 Inches,N/A,N/A,Celeron,4 GB,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,2.6 GHz,5, $389.99 ,56," $21,839.44 ",316
78,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $639.99 ,43," $27,519.57 ",538
79,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $239.00 ,39," $9,321.00 ",445
80,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0, $999.99 ,63," $62,999.37 ",287
81,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $2,199.99 ",12," $26,399.88 ",455
82,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5," $1,999.00 ",32," $63,968.00 ",278
83,acer,Swift Go 14,14 Inches,Silver,512 GB,Intel Core i7-1355U,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,N/A,N/A,4.3," $2,099.99 ",50," $1,04,999.50 ",256
84,ASUS,VivoBook S 15,15.6 Inches,Midnight Black,1 TB,Core i9,16 GB,Windows 11 Home,N/A,Integrated,Intel Iris,N/A,3.7," $1,599.99 ",32," $51,199.68 ",270
85,Apple,MacBook Pro,16.2 Inches,Space Gray,512 GB,ARM 7100,32 GB,macOS 12 Monterey,N/A,Integrated,M1 Pro,N/A,4.7," $1,327.99 ",48," $63,743.52 ",412
86,acer,Aspire 5,15.6 Inches,Silver,256 GB,AMD Ryzen 5 5500U,8 GB,Windows 11,Backlit Keyboard,Integrated,N/A,N/A,4.4," $1,764.99 ",29," $51,184.71 ",346
87,Apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6 Inches,N/A,512 GB,Apple M1,16 GB,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,N/A,4.8, $245.00 ,36," $8,820.00 ",390
88,HP,N/A,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.7, $389.99 ,53," $20,669.47 ",176
89,SAMSUNG,NP754XFG-KB1US,15.6 Inches,Silver,16 GB,Core i7,16 GB,Windows 11 Pro,N/A,Integrated,Intel Iris Xe Graphics,N/A,4.8, $732.00 ,60," $43,920.00 ",291
90,Microsoft,Surface Laptop Studio 2,14.4 Inches,Platinum,2 TB,Core i7-13700K,64 GB,Windows 11 Home,Portable,NVIDIA® GeForce RTX™ 4060,N/A,N/A,0, $999.99 ,55," $54,999.45 ",500
91,ASUS,Zenbook 15,15.6 Inches,Basalt Grey,1 TB,Ryzen 7,32 GB,Windows 11 Home,Dolby,Integrated,N/A,N/A,4.3, $899.99 ,44," $39,599.56 ",161
92,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5," $1,757.57 ",16," $28,121.12 ",267
93,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4, $999.99 ,26," $25,999.74 ",277
94,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,599.00 ",42," $67,158.00 ",351
95,SAMSUNG,Galaxy Book3 Pro,14 Inches,Graphite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.4, $999.99 ,18," $17,999.82 ",139
96,Apple,MacBook Pro,13 Inches,N/A,256 GB,Apple M1,16 GB,macOS 12 Monterey,N/A,Integrated,N/A,3.4 GHz,4.7," $1,469.00 ",65," $95,485.00 ",302
97,HP,HP 15 scarlet red,15.6 Inches,Silver,1 TB,Celeron,16 GB,Windows 11 Home,N/A,Integrated,Intel UHD Graphics,N/A,4.3," $2,492.99 ",25," $62,324.75 ",165
98,Carlisle FoodService Products,ASUS VivoBook L203,11.6 Inches,Black,64 GB,Celeron N4000,4 GB,Windows 10 S,N/A,Integrated,Intel UHD Graphics 600,N/A,4.2," $2,929.99 ",49," $1,43,569.51 ",265
99,Gigabyte,G5 KF-E3US333SH,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 4060,N/A,4, $473.00 ,37," $17,501.00 ",459
100,ASUS,Vivobook 15X,15.6 Inches,Indie Black,1 TB,Ryzen 7,16 GB,Windows 11 Home,N/A,Integrated,AMD Radeon Graphics,N/A,5," $1,699.00 ",49," $83,251.00 ",408
101,acer,Chromebook Spin,11.6 Inches,Silver,64 GB,Celeron N4000,4 GB,Chrome OS,N/A,Integrated,intel,N/A,4.5," $2,912.99 ",42," $1,22,345.58 ",188
102,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $1,023.99 ",16," $16,383.84 ",161
103,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $864.99 ,57," $49,304.43 ",467
104,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,599.00 ",54," $86,346.00 ",477
105,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $613.99 ,53," $32,541.47 ",456
106,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5, $880.99 ,37," $32,596.63 ",192
107,ASUS,Zenbook Pro 14 Duo,14.5 Inches,Tech Black,1 TB,Core i9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 4060,N/A,4, $428.45 ,27," $11,568.15 ",513
108,ASUS,ASUS Chromebook C203XA,11.6 Inches,Grey,32 GB,MediaTek_MT8127,4 GB,Chrome OS,Spill resistant,Integrated,N/A,N/A,4.3, $639.99 ,58," $37,119.42 ",413
109,MSI,Stealth 17Studio A13VH-053US,17.3 Inches,N/A,1 TB,Core i9,32 GB,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,N/A,4.2," $1,699.95 ",61," $1,03,696.95 ",207
110,Lenovo,Ideapad,15.6 Inches,Platinum Grey,256 GB,Intel Core i3,8 GB,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,N/A,N/A,4.3," $1,799.95 ",33," $59,398.35 ",448
111,MSI,MSI GF63,15.6 Inches,N/A,512 GB,Core i5 Family,16 GB,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,N/A,4.1, $930.00 ,22," $20,460.00 ",287
112,Apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6 Inches,N/A,256 GB,Apple M1,16 GB,macOS 12 Monterey,N/A,Integrated,N/A,3.4,5, $589.99 ,44," $25,959.56 ",483
113,HP,EliteBook 840,14 Inches,Silver,256 GB,Core i5 6200U,16 GB,Windows 10 Pro,Anti Glare Coating,Integrated,N/A,N/A,4," $3,499.00 ",15," $52,485.00 ",99
114,ASUS,ProArt StudioBook 16,16 Inches,N/A,1 TB,Core i9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,3.7," $1,799.00 ",65," $1,16,935.00 ",167
115,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5, $735.59 ,52," $38,250.68 ",215
116,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4, $389.99 ,56," $21,839.44 ",140
117,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $997.74 ,54," $53,877.96 ",438
118,SAMSUNG,Chromebook 4+,15.6 Inches,Silver,64 GB,Celeron N3450,4 GB,Chrome OS,N/A,Integrated,N/A,1.1 GHz,4.4, $589.99 ,51," $30,089.49 ",487
119,HP,"HP 14"" Chromebook",14 Inches,Dale Gray,128 GB,Core i3,8 GB,Chrome OS,High Quality,Integrated,N/A,N/A,3.9," $2,699.00 ",44," $1,18,756.00 ",330
120,acer,Aspire 5,15.6 Inches,Silver,128 GB,Ryzen 3 3350U,4 GB,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,N/A,N/A,4.5," $1,599.00 ",47," $75,153.00 ",325
121,Razer,Razer Blade 14,14 Inches,N/A,1 TB,Ryzen 9 7900X,16 GB,Windows 11 Home,N/A,RTX 4070,NVIDIA GeForce RTX 4070,N/A,4.3, $239.99 ,52," $12,479.48 ",252
122,ASUS,VivoBook 15,15.6 Inches,Slate Gray,128 GB,Core i3-1005G1,8 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,N/A,N/A,4.5, $739.99 ,25," $18,499.75 ",513
123,acer,PH16-71-74UU,16 Inches,Black,1 TB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,N/A,N/A,4.5," $2,815.30 ",16," $45,044.80 ",223
124,ASUS,ASUS ROG Zephyrus Duo 16,16 Inches,Black,1000 GB,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 3060,N/A,N/A,4.3, $694.19 ,42," $29,155.98 ",362
125,ASUS,Vivobook Pro 15,15.6 Inches,Quiet Blue,1 TB,Ryzen 9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 4060,N/A,4.6," $1,658.99 ",32," $53,087.68 ",304
126,Dell,XPS9310-7321WHT-SUS,13.4 Inches,White,512 GB,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,N/A,N/A,4.1, $459.99 ,37," $17,019.63 ",130
127,Dell,Dell G15 5520,15.6 Inches,Shadow Grey,512 GB,Core i7 Family,16 GB,Windows 11 Home,N/A,Dedicated,N/A,N/A,4.2, $899.99 ,17," $15,299.83 ",324
128,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $2,425.99 ",48," $1,16,447.52 ",500
129,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5," $1,699.00 ",47," $79,853.00 ",411
130,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5, $589.99 ,14," $8,259.86 ",507
131,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,999.00 ",54," $1,07,946.00 ",520
132,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $389.99 ,49," $19,109.51 ",194
133,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5, $993.23 ,25," $24,830.75 ",465
134,ASUS,Vivobook 14,14 Inches,Quiet Blue,256 GB,Core i5,8 GB,Windows 11 Home,N/A,Integrated,Intel Iris,N/A,4.4," $1,599.00 ",61," $97,539.00 ",142
